x,y,Aurora
16,23,30
16,24,27
16,25,24
16,26,20
16,27,17
16,28,14
16,29,12
16,30,9
16,31,7
16,32,5
16,33,4
16,34,3
16,35,2
16,36,2
16,37,1
16,38,1
16,88,1
16,89,2
16,146,1
16,147,1
16,148,3
16,149,5
16,150,7
16,151,10
16,152,14
16,153,18
16,154,22
16,155,25
16,156,27
16,157,27
16,158,27
16,159,25
16,160,23
16,161,20
16,162,17
16,163,14
16,164,11
16,165,8
16,166,6
16,167,4
16,168,3
16,169,2
16,170,1
16,171,1
17,0,7
17,2,9
17,3,13
17,4,16
17,5,19
17,6,23
17,7,26
17,8,30
17,9,34
17,10,37
17,11,40
17,12,42
17,13,43
17,14,44
17,15,45
17,16,45
17,17,44
17,18,43
17,19,41
17,20,39
17,21,37
17,22,34
17,23,31
17,24,28
17,25,25
17,26,21
17,27,18
17,28,15
17,29,12
17,30,10
17,31,8
17,32,6
17,33,4
17,34,3
17,35,2
17,36,2
17,37,1
17,38,1
17,39,1
17,88,1
17,89,2
17,146,1
17,147,1
17,148,3
17,149,4
17,150,7
17,151,10
17,152,14
17,153,18
17,154,22
17,155,25
17,156,27
17,157,27
17,158,27
17,159,25
17,160,23
17,161,20
17,162,18
17,163,14
17,164,11
17,165,9
17,166,6
17,167,4
17,168,3
17,169,2
17,170,1
17,171,1
18,0,6
18,2,9
18,3,12
18,4,15
18,5,19
18,6,22
18,7,26
18,8,30
18,9,33
18,10,36
18,11,39
18,12,41
18,13,43
18,14,44
18,15,45
18,16,45
18,17,44
18,18,43
18,19,42
18,20,40
18,21,38
18,22,35
18,23,32
18,24,29
18,25,26
18,26,22
18,27,19
18,28,16
18,29,13
18,30,11
18,31,8
18,32,6
18,33,5
18,34,3
18,35,2
18,36,2
18,37,1
18,38,1
18,39,1
18,88,1
18,89,2
18,146,1
18,147,1
18,148,2
18,149,4
18,150,7
18,151,10
18,152,14
18,153,18
18,154,21
18,155,24
18,156,26
18,157,27
18,158,27
18,159,25
18,160,23
18,161,21
18,162,18
18,163,15
18,164,12
18,165,9
18,166,6
18,167,4
18,168,3
18,169,2
18,170,1
18,171,1
19,0,6
19,2,9
19,3,12
19,4,15
19,5,18
19,6,22
19,7,25
19,8,29
19,9,33
19,10,36
19,11,39
19,12,41
19,13,43
19,14,44
19,15,44
19,16,45
19,17,44
19,18,44
19,19,42
19,20,41
19,21,39
19,22,36
19,23,33
19,24,30
19,25,27
19,26,23
19,27,20
19,28,17
19,29,14
19,30,11
19,31,9
19,32,7
19,33,5
19,34,4
19,35,3
19,36,2
19,37,1
19,38,1
19,39,1
19,88,1
19,89,2
19,146,1
19,147,1
19,148,2
19,149,4
19,150,7
19,151,10
19,152,13
19,153,17
19,154,21
19,155,24
19,156,26
19,157,27
19,158,27
19,159,25
19,160,23
19,161,21
19,162,18
19,163,15
19,164,12
19,165,9
19,166,6
19,167,4
19,168,3
19,169,2
19,170,1
19,171,1
20,0,6
20,2,9
20,3,12
20,4,15
20,5,18
20,6,21
20,7,25
20,8,29
20,9,32
20,10,35
20,11,38
20,12,41
20,13,42
20,14,44
20,15,44
20,16,45
20,17,44
20,18,44
20,19,43
20,20,41
20,21,39
20,22,37
20,23,34
20,24,31
20,25,28
20,26,24
20,27,21
20,28,18
20,29,15
20,30,12
20,31,9
20,32,7
20,33,5
20,34,4
20,35,3
20,36,2
20,37,1
20,38,1
20,39,1
20,88,1
20,89,2
20,146,1
20,147,1
20,148,2
20,149,4
20,150,6
20,151,9
20,152,13
20,153,17
20,154,21
20,155,24
20,156,26
20,157,27
20,158,27
20,159,25
20,160,23
20,161,21
20,162,18
20,163,15
20,164,12
20,165,9
20,166,6
20,167,4
20,168,3
20,169,2
20,170,1
20,171,1
21,0,6
21,2,9
21,3,12
21,4,14
21,5,17
21,6,21
21,7,24
21,8,28
21,9,32
21,10,35
21,11,38
21,12,40
21,13,42
21,14,43
21,15,44
21,16,44
21,17,44
21,18,44
21,19,43
21,20,42
21,21,40
21,22,38
21,23,35
21,24,32
21,25,29
21,26,25
21,27,22
21,28,19
21,29,16
21,30,13
21,31,10
21,32,8
21,33,6
21,34,4
21,35,3
21,36,2
21,37,2
21,38,1
21,39,1
21,88,1
21,89,2
21,146,1
21,147,1
21,148,2
21,149,4
21,150,6
21,151,9
21,152,13
21,153,17
21,154,20
21,155,24
21,156,26
21,157,27
21,158,26
21,159,25
21,160,23
21,161,21
21,162,18
21,163,15
21,164,12
21,165,9
21,166,7
21,167,4
21,168,3
21,169,2
21,170,1
21,171,1
22,0,6
22,2,9
22,3,11
22,4,14
22,5,17
22,6,20
22,7,24
22,8,27
22,9,31
22,10,34
22,11,37
22,12,40
22,13,42
22,14,43
22,15,44
22,16,44
22,17,44
22,18,44
22,19,43
22,20,42
22,21,40
22,22,38
22,23,36
22,24,33
22,25,30
22,26,26
22,27,23
22,28,20
22,29,16
22,30,13
22,31,11
22,32,8
22,33,6
22,34,5
22,35,3
22,36,2
22,37,2
22,38,1
22,39,1
22,88,1
22,89,2
22,147,1
22,148,2
22,149,4
22,150,6
22,151,9
22,152,13
22,153,16
22,154,20
22,155,23
22,156,25
22,157,26
22,158,26
22,159,25
22,160,23
22,161,21
22,162,18
22,163,15
22,164,12
22,165,9
22,166,7
22,167,5
22,168,3
22,169,2
22,170,1
22,171,1
23,0,6
23,2,8
23,3,11
23,4,14
23,5,17
23,6,20
23,7,23
23,8,27
23,9,30
23,10,34
23,11,37
23,12,39
23,13,41
23,14,43
23,15,44
23,16,44
23,17,44
23,18,44
23,19,43
23,20,42
23,21,41
23,22,39
23,23,36
23,24,34
23,25,31
23,26,27
23,27,24
23,28,21
23,29,17
23,30,14
23,31,11
23,32,9
23,33,7
23,34,5
23,35,4
23,36,2
23,37,2
23,38,1
23,39,1
23,89,2
23,147,1
23,148,2
23,149,4
23,150,6
23,151,9
23,152,12
23,153,16
23,154,20
23,155,23
23,156,25
23,157,26
23,158,26
23,159,25
23,160,23
23,161,21
23,162,18
23,163,15
23,164,12
23,165,9
23,166,7
23,167,5
23,168,3
23,169,2
23,170,1
23,171,1
24,0,6
24,2,8
24,3,11
24,4,13
24,5,16
24,6,19
24,7,23
24,8,26
24,9,30
24,10,33
24,11,36
24,12,39
24,13,41
24,14,42
24,15,43
24,16,44
24,17,44
24,18,44
24,19,44
24,20,43
24,21,41
24,22,40
24,23,37
24,24,34
24,25,31
24,26,28
24,27,25
24,28,22
24,29,18
24,30,15
24,31,12
24,32,9
24,33,7
24,34,5
24,35,4
24,36,3
24,37,2
24,38,1
24,39,1
24,40,1
24,89,2
